Loss (%),Delay (ms),Buffer Delay (ms),Useful Frames (%)
0.0,10.0,42.0,99.96
0.0,10.0,84.0,99.64
0.0,10.0,126.0,100.0
0.0,10.0,168.0,100.0
0.0,30.0,42.0,99.53
0.0,30.0,84.0,99.33
0.0,30.0,126.0,99.99
0.0,30.0,168.0,99.96
0.0,50.0,42.0,98.69
0.0,50.0,84.0,98.79
0.0,50.0,126.0,99.89
0.0,50.0,168.0,99.94
0.0,100.0,42.0,97.18
0.0,100.0,84.0,98.01
0.0,100.0,126.0,97.73
0.0,100.0,168.0,98.44
0.0,150.0,42.0,96.71
0.0,150.0,84.0,97.19
0.0,150.0,126.0,96.59
0.0,150.0,168.0,97.15
0.1,10.0,42.0,99.78
0.1,10.0,84.0,99.96
0.1,10.0,126.0,99.99
0.1,10.0,168.0,100.0
0.1,30.0,42.0,96.65
0.1,30.0,84.0,99.61
0.1,30.0,126.0,99.54
0.1,30.0,168.0,98.92
0.1,50.0,42.0,94.36
0.1,50.0,84.0,97.08
0.1,50.0,126.0,99.76
0.1,50.0,168.0,99.97
0.1,100.0,42.0,89.48
0.1,100.0,84.0,91.59
0.1,100.0,126.0,95.3
0.1,100.0,168.0,97.54
0.1,150.0,42.0,83.77
0.1,150.0,84.0,87.38
0.1,150.0,126.0,87.46
0.1,150.0,168.0,91.77
1.0,10.0,42.0,99.87
1.0,10.0,84.0,99.93
1.0,10.0,126.0,100.0
1.0,10.0,168.0,100.0
1.0,30.0,42.0,89.46
1.0,30.0,84.0,97.96
1.0,30.0,126.0,99.82
1.0,30.0,168.0,100.0
1.0,50.0,42.0,65.43
1.0,50.0,84.0,87.67
1.0,50.0,126.0,97.93
1.0,50.0,168.0,99.18
1.0,100.0,42.0,40.54
1.0,100.0,84.0,50.24
1.0,100.0,126.0,61.48
1.0,100.0,168.0,76.19
1.0,150.0,42.0,25.74
1.0,150.0,84.0,29.91
1.0,150.0,126.0,36.39
1.0,150.0,168.0,48.02
5.0,10.0,42.0,98.5
5.0,10.0,84.0,99.97
5.0,10.0,126.0,100.0
5.0,10.0,168.0,100.0
5.0,30.0,42.0,49.03
5.0,30.0,84.0,86.46
5.0,30.0,126.0,94.11
5.0,30.0,168.0,98.46
5.0,50.0,42.0,15.0
5.0,50.0,84.0,37.72
5.0,50.0,126.0,77.97
5.0,50.0,168.0,85.14
5.0,100.0,42.0,1.78
5.0,100.0,84.0,5.09
5.0,100.0,126.0,10.87
5.0,100.0,168.0,27.59
5.0,150.0,42.0,0.54
5.0,150.0,84.0,0.71
5.0,150.0,126.0,0.71
5.0,150.0,168.0,2.57
10.0,10.0,42.0,90.88
10.0,10.0,84.0,99.0
10.0,10.0,126.0,99.4
10.0,10.0,168.0,99.71
10.0,30.0,42.0,33.77
10.0,30.0,84.0,57.41
10.0,30.0,126.0,81.65
10.0,30.0,168.0,94.65
10.0,50.0,42.0,3.52
10.0,50.0,84.0,10.99
10.0,50.0,126.0,72.41
10.0,50.0,168.0,59.54
10.0,100.0,42.0,0.13
10.0,100.0,84.0,0.24
10.0,100.0,126.0,29.34
10.0,100.0,168.0,3.68
10.0,150.0,42.0,0.07
10.0,150.0,84.0,0.1
10.0,150.0,126.0,7.54
10.0,150.0,168.0,0.19
